customer_id,name,email,country,account_balance,last_transaction_date
1,Alice Morgan,alice.morgan@finco.com,USA,15200.75,2024-12-01
2,Bob Lee,bob.lee@wealthplus.org,Canada,9800.0,2024-11-28
3,Charlie Singh,charlie@capitaltrust.io,UK,18300.5,2024-11-30
4,Diana Zhang,diana.z@securebank.net,Germany,12950.0,2024-12-02
5,Eric Patel,eric.patel@investhub.com,India,11400.25,2024-11-25
6,Ankit Verma,ankit.verma@finco.com,India,17200.75,2024-12-03
7,Shalini Tope,shalini.tope@finco.com,India,25200.75,2024-12-04
8,Kim Rodriguez,kim.rodriguez@wealthplus.org,USA,12662.99,2025-04-13
9,Sean Hudson,sean.hudson@finco.com,Canada,11562.76,2025-04-28
10,Sharon Mosley,sharon.mosley@securebank.net,India,27271.71,2025-04-02
11,Nicholas Jones,nicholas.jones@securebank.net,Germany,22729.76,2025-03-23
12,Jeffrey Hill,jeffrey.hill@securebank.net,Canada,22523.02,2025-03-18
13,Steve Bridges,steve.bridges@capitaltrust.io,USA,25224.62,2025-04-05
14,Sheryl Brown,sheryl.brown@securebank.net,UK,18643.69,2025-05-11
15,Aaron Barrett,aaron.barrett@capitaltrust.io,USA,18563.23,2025-04-23
16,Laura Griffin,laura.griffin@capitaltrust.io,Canada,19209.52,2025-04-16
17,Tina Bell,tina.bell@investhub.com,UK,15517.02,2025-03-18
18,Katherine Woods,katherine.woods@securebank.net,Canada,25253.74,2025-03-27
19,Sandra Miller,sandra.miller@investhub.com,USA,9864.57,2025-04-01
20,Marissa Griffin,marissa.griffin@wealthplus.org,UK,19150.94,2025-05-16
21,Tami Cannon,tami.cannon@investhub.com,India,10875.02,2025-04-25
22,Cynthia Carlson,cynthia.carlson@investhub.com,Canada,16869.61,2025-04-17
23,Anthony Smith,anthony.smith@investhub.com,Germany,23033.77,2025-04-08
24,Steven Martin,steven.martin@finco.com,India,16611.59,2025-04-29
25,Robert Green,robert.green@investhub.com,India,23589.28,2025-04-04
26,Amber Curry,amber.curry@securebank.net,India,9607.82,2025-03-31
27,Heather Hall,heather.hall@wealthplus.org,UK,19225.63,2025-04-17
28,Ana Kennedy,ana.kennedy@wealthplus.org,UK,16162.9,2025-03-25
29,David Mitchell,david.mitchell@finco.com,UK,27549.74,2025-04-10
30,Jonathan Scott,jonathan.scott@capitaltrust.io,Canada,22496.37,2025-04-08
31,Timothy Short,timothy.short@finco.com,Canada,23267.28,2025-03-27
32,Victor Martinez,victor.martinez@capitaltrust.io,Canada,14453.56,2025-04-26
33,Heather Beard,heather.beard@securebank.net,Canada,21121.19,2025-04-28
34,Diana Sparks,diana.sparks@securebank.net,Canada,15731.57,2025-04-25
35,Juan Jenkins,juan.jenkins@finco.com,Germany,27650.61,2025-04-16
36,Christopher Smith,christopher.smith@finco.com,UK,17303.7,2025-03-28
37,Ashley Zamora,ashley.zamora@wealthplus.org,India,19822.78,2025-04-15
38,Laura Roberts,laura.roberts@securebank.net,UK,17376.25,2025-03-24
39,Roy Rivas,roy.rivas@capitaltrust.io,India,21817.81,2025-03-21
40,Stephanie Hall,stephanie.hall@investhub.com,UK,21779.94,2025-04-12
41,Joseph White,joseph.white@investhub.com,Germany,15293.03,2025-05-09
42,Cynthia Perry,cynthia.perry@capitaltrust.io,India,9173.31,2025-04-18
43,Lonnie White,lonnie.white@capitaltrust.io,UK,27469.82,2025-04-11
44,Cheryl Bell,cheryl.bell@wealthplus.org,Germany,21203.03,2025-05-07
45,Catherine Burke,catherine.burke@finco.com,Germany,28529.18,2025-04-08
46,Eduardo Ballard,eduardo.ballard@investhub.com,India,12582.43,2025-04-20
47,Kyle Stevens,kyle.stevens@finco.com,Canada,26510.17,2025-04-14
48,Gregory Lawson,gregory.lawson@capitaltrust.io,Canada,26831.06,2025-05-12
